#plot-number-year,,,,#reformated,"#unsure, counts","#unsure, counts",,,#,,,,
nest_id,year,species,date,yyyymmdd,eggs,young,dead_young,stage,adult_status,young_status,min_yng,max_yng,notes
P13 N3 24,2024,Savannah Sparrow,2024-06-13T08:52:51,,0,0,0,,va,no,,,Kate- no eggs nor young. Nest did not look damaged. Savannah Sparrows remained near.
P13 N3 24,2024,Savannah Sparrow,2024-06-15T00:00,,0,0,0,,no,no,,,
P15 N1 24,2024,Bobolink,2024-05-31T09:40:27,,6,0,0,,va,no,,,Gillian female and male stayed near by 
P15 N1 24,2024,Bobolink,2024-06-05T08:16:34,,6,0,0,,aa,no,,,Mother fledged but stayed fairly close.
P15 N1 24,2024,Bobolink,2024-06-07T12:23:15,,0,6,0,,no,ny,,,
P15 N1 24,2024,Bobolink,2024-06-10T12:11:01,,0,6,0,,va,py,,,starting to get feathers. adult chipping in tree. eyes closed
P15 N1 24,2024,Bobolink,2024-06-12T00:00,,0,6,0,,va,py,,,Jane; male adult nearby chipping
P15 N1 24,2024,Bobolink,2024-06-15T00:00,,0,6,0,,va,fy,,,6 feathered young 
P15 N1 24,2024,Bobolink,2024-06-17T00:00,,0,0,0,,va,no,,,"empty nest, several males and females chipping nearby "
P15 N2 24,2024,Bobolink,2024-06-07T18:07:17,,0,6,0,,fa,ny,,,
P15 N2 24,2024,Bobolink,2024-06-10T12:14:19,,0,5,0,,va,py,,,eyes open. pinfeatgers barely started. position on map looks wrong. it’s closer to the other nest but still along the ditch 
P15 N2 24,2024,Bobolink,2024-06-12T00:00,,0,6,0,,va,py,,,"Jane; afternoon, male adult nearby"
P15 N2 24,2024,Bobolink,2024-06-15T00:00,,0,5,0,,va,fy,,,
P15 N2 24,2024,Bobolink,2024-06-17T00:00,,0,0,0,,va,no,,,
p15 probable ,2024,Bobolink,2024-06-26T09:30:26,,,,,,fa,,,,female and male both feeding and circling/guarding. Jane flushed two from the little knob near the rose bushes and the oak tree more that could be female or flying babies
P16 N1 24,2024,Bobolink,2024-06-26T11:01:16,,2,3,,,va,py,,,"4 males and 2 males in the vicinity and guarding. after Jane vt Pune and checked the nest,
male returned to nest to check on it and female perched on the nearby rosebish with food in her beak"
P16 N1 24,2024,Bobolink,2024-06-27T12:35:04,,2,3,,,va,py,,,Jane pulled the grass up a bit to shade them more (are under the bush so are protected
P16 N1 24,2024,Bobolink,2024-07-01T11:49:46,,2,,,,va,,,,"Jane: 2 adult couples plus 1 more male guarding to tbe east and to the west along the hillside. may be another nest area to the west?
also Savannah sparrow feeding young about 20 m to the east among tbe rose bushes on the hillside"
P16 N2 24,2024,Bobolink,2024-07-03T00:00,,0,4,0,,fa,ny,,,"Jane found by observing male and female guarding and sticking close
to the same spot with food, then observed male go down several times over 10 minutes or so before coming up without food ..male kept popping down and back up again with food still in his mouth "
P16 N2 24,2024,Bobolink,2024-07-10T00:00,,0,0,0,,va,no,,,Jane; male adults nearby guarding. did not see anyone feeding. females seemed to be further away.
